word,jyutping,occured,ratio
行,haang4,59,0.000491761
買,maai5,306,0.002550489
導遊,dou6jau4,8,6.66794E-05
帶,daai3,47,0.000391742
我哋,ngo5dei6,386,0.003217283
觀光點,gun1gwong1dim2,1,8.33493E-06
團,tyun4,2,1.66699E-05
旅遊點,leoi5jau4dim2,1,8.33493E-06
同,tung4,240,0.002000383
揀,gaan2,45,0.000375072
成日,seng4jat6,160,0.001333589
帶隊,daai3deoi2,1,8.33493E-06
重點,zung6dim2,2,1.66699E-05
鍾意,zung1ji3,144,0.00120023
最好,zeoi3hou2,7,5.83445E-05
啊,aa3,424,0.003534011
起碼,hei2maa5,26,0.000216708
半價,bun3gaa3,2,1.66699E-05
定,ding6,3,2.50048E-05
喼,gip1,1,8.33493E-06
首先,sau2sin1,6,5.00096E-05
古仔,gu2zai2,5,4.16747E-05
孔,hung2,7,5.83445E-05
融,jung4,7,5.83445E-05
讓,joeng6,10,8.33493E-05
梨,lei4,4,3.33397E-05
來,lai4,49,0.000408412
嘅,ge3,176,0.001466948
古老,gu2lou5,1,8.33493E-06
後來,hau6loi4,14,0.000116689
將,zoeng1,10,8.33493E-05
反轉,faan2zyun3,1,8.33493E-06
新,san1,52,0.000433416
梨,lei2,5,4.16747E-05
大哥,daai6go1,1,8.33493E-06
要,jiu3,115,0.000958517
表現,biu2jin6,6,5.00096E-05
佢哋,keoi5dei6,274,0.002283771
孝心,haau3sam1,1,8.33493E-06
尊重,zyun1zung6,1,8.33493E-06
哥哥,go4go1,3,2.50048E-05
噉樣樣,gam2joeng2joeng2,8,6.66794E-05
大人,daai6jan4,3,2.50048E-05
有人,jau5jan4,1,8.33493E-06
加,gaa1,26,0.000216708
編,pin1,1,8.33493E-06
落去,lok6heoi3,55,0.000458421
拎,ling1,15,0.000125024
拎走,ling1zau2,1,8.33493E-06
之後,zi1hau6,92,0.000766814
喺度,hai2dou6,48,0.000400077
開心,hoi1sam1,67,0.00055844
偷笑,tau1siu3,2,1.66699E-05
周圍,zau1wai4,20,0.000166699
原來,jyun4loi4,70,0.000583445
生,saang1,36,0.000300058
蟲,cung4,3,2.50048E-05
專登,zyun1dang1,1,8.33493E-06
揾,wan2,222,0.001850355
鯁,kang2,1,8.33493E-06
爛,laan6,9,7.50144E-05
吖,aa1,20,0.000166699
雖然,seoi1jin4,17,0.000141694
編,pin1,2,1.66699E-05
郵票,jau4piu3,28,0.000233378
使,sai2,14,0.000116689
最近,zeoi3gan6,25,0.000208373
排,paai4,6,5.00096E-05
炒,caau2,28,0.000233378
燶,nung6,3,2.50048E-05
點樣,dim2joeng2,100,0.000833493
太,taai3,61,0.000508431
幾乎,gei1fu4,5,4.16747E-05
幾多,gei2do1,88,0.000733474
只要,zi2jiu3,7,5.83445E-05
肯,hang2,12,0.000100019
錢,cin2,167,0.001391933
得,dak1,141,0.001175225
而且,ji4ce2,18,0.000150029
預早,jyu6zou2,2,1.66699E-05
訂,deng6,23,0.000191703
嚹,laa3,14,0.000116689
兼夾,gim1gap3,1,8.33493E-06
女,neoi5,10,8.33493E-05
女皇,neoi5wong4,10,8.33493E-05
已經,ji5ging1,185,0.001541962
七七八八,cat1cat1baat3baat3,1,8.33493E-06
淨得,zing6dak1,1,8.33493E-06
雀仔,zoek3zai2,6,5.00096E-05
特色,dak6sik1,10,8.33493E-05
特別,dak6bit6,37,0.000308392
呃,aak1,9,7.50144E-05
𠻺,aa6,151,0.001258575
搶,coeng2,1,8.33493E-06
以前,ji5cin4,49,0.000408412
少,siu2,61,0.000508431
需求,seoi1kau4,1,8.33493E-06
根本,gan1bun2,44,0.000366737
需求,seoi1kau4,1,8.33493E-06
起,hei2,37,0.000308392
揸,zaa1,24,0.000200038
手,sau2,27,0.000225043
盞,zaan2,1,8.33493E-06
唉,aai5,96,0.000800153
點樣樣,dim2joeng2joeng2,2,1.66699E-05
甩,lat1,3,2.50048E-05
身,san1,10,8.33493E-05
到,dou2,59,0.000491761
過渡,gwo3dou6,2,1.66699E-05
九七,gau2cat1,6,5.00096E-05
價值,gaa3zik6,9,7.50144E-05
留,lau4,17,0.000141694
返,faan1,182,0.001516957
古董,gu2dung2,2,1.66699E-05
今次,gam1ci3,17,0.000141694
小全章,siu2cyun4zoeng1,9,7.50144E-05
多數,do1sou3,14,0.000116689
限量,haan6loeng6,4,3.33397E-05
限,haan6,1,8.33493E-06
印,jan3,4,3.33397E-05
發行,faat3hong4,1,8.33493E-06
量,loeng6,1,8.33493E-06
套摺,tou3zip3,5,4.16747E-05
數量,sou3loeng6,2,1.66699E-05
喀,haak6,694,0.005784442
感覺,gam2gok3,23,0.000191703
覺得,gok3dak1,623,0.005192662
十二,sap6ji6,11,9.16842E-05
當,dong3,11,9.16842E-05
賣,maai6,86,0.000716804
二十,ji6sap6,14,0.000116689
八,baat3,30,0.000250048
只係,zi2hai6,4,3.33397E-05
膠套,gaau1tou3,1,8.33493E-06
版,baan2,17,0.000141694
介紹,gaai3siu6,27,0.000225043
日本,jat6bun2,42,0.000350067
仔,zai2,28,0.000233378
靚一靚,leng3jat1leng3,2,1.66699E-05
出去,ceot1heoi3,34,0.000283388
收藏,sau1cong4,1,8.33493E-06
連,lin4,9,7.50144E-05
套,tou3,49,0.000408412
好睇,hou2tai2,37,0.000308392
噉樣樣,gam2joeng2joeng2,4,3.33397E-05
最後,zeoi3hau6,14,0.000116689
九七年,gau2cat1nin4,2,1.66699E-05
七月,cat1jyut6,11,9.16842E-05
一號,jat1hou6,10,8.33493E-05
之前,zi1cin4,14,0.000116689
最後,zeoi3hau6,11,9.16842E-05
英女皇,jing1neoi5wong4,3,2.50048E-05
頭,tau4,27,0.000225043
青馬大橋,cing1maa5daai6kiu4,2,1.66699E-05
主題,zyu2tai4,4,3.33397E-05
下,haa6,16,0.000133359
月,jyut6,77,0.00064179
五月,ng5jyut6,7,5.83445E-05
六月,luk6jyut6,11,9.16842E-05
嗱,laa4,64,0.000533436
𡁵,gan2,110,0.000916842
建設,gin3cit3,1,8.33493E-06
十幾號,sap6gei2hou6,1,8.33493E-06
傷殘,soeng1caan4,6,5.00096E-05
運動會,wan6dung6wui2,4,3.33397E-05
奧運會,ou3wan6wui2,4,3.33397E-05
奧運會,ou3wan6wui2,1,8.33493E-06
鬧,naau6,7,5.83445E-05
李,lei5,30,0.000250048
麗珊,lai6san1,2,1.66699E-05
歧視,kei4si6,1,8.33493E-06
運動員,wan6dung6jyun4,1,8.33493E-06
成績,sing4zik1,14,0.000116689
㧬,ung2,3,2.50048E-05
張,zoeng1,86,0.000716804
首日封,sau2jat6fung1,6,5.00096E-05
尾,mei5,5,4.16747E-05
經典,ging1din2,6,5.00096E-05
系列,hai6lit6,4,3.33397E-05
第十,dai6sap6,3,2.50048E-05
號,hou6,23,0.000191703
一路,jat1lou6,27,0.000225043
由,jau4,31,0.000258383
二,ji6,13,0.000108354
三,saam1,96,0.000800153
六,luk6,36,0.000300058
九,gau2,16,0.000133359
十,sap6,88,0.000733474
關於,gwaan1jyu1,11,9.16842E-05
每一次,mui5jat1ci3,1,8.33493E-06
介紹,gaai3siu6,1,8.33493E-06
第一,dai6jat1,52,0.000433416
開始,hoi1ci2,56,0.000466756
至,zi3,14,0.000116689
譬如,pei3jyu4,219,0.00182535
百,baak3,17,0.000141694
郵局,jau4guk2,3,2.50048E-05
好似,hou2ci5,3,2.50048E-05
郵,jau4,8,6.66794E-05
展,zin2,2,1.66699E-05
亂,lyun6,10,8.33493E-05
發覺,faat3gok3,20,0.000166699
另外,ling6ngoi6,61,0.000508431
連續,lin4zuk6,3,2.50048E-05
落,lok6,41,0.000341732
容易,jung4ji6,16,0.000133359
撈亂,lou1lyun6,2,1.66699E-05
前,cin4,24,0.000200038
三十號,saam1sap6hou6,2,1.66699E-05
第日,dai6jat6,5,4.16747E-05
廢,fai3,3,2.50048E-05
再,zoi3,93,0.000775149
任何,jam6ho4,10,8.33493E-05
通,tung1,1,8.33493E-06
用,jung6,113,0.000941847
𡃉,gaa3,2,1.66699E-05
照,ziu3,11,9.16842E-05
只不過,zi2bat1gwo3,7,5.83445E-05
宣佈,syun1bou3,1,8.33493E-06
㗎,gaa4,52,0.000433416
黏,nim4,10,8.33493E-05
寄,gei3,23,0.000191703
𠸏,ge2,345,0.002875551
收,sau1,58,0.000483426
啩,gwaa3,21,0.000175034
掟,deng3,2,1.66699E-05
郵,jau4,1,8.33493E-06
十足,sap6zuk1,1,8.33493E-06
價,gaa3,16,0.000133359
折,zit3,1,8.33493E-06
蝕,sit6,7,5.83445E-05
折,zit3,2,1.66699E-05
套,tou3,1,8.33493E-06
現,jin2,1,8.33493E-06
回歸,wui4gwai1,4,3.33397E-05
樣,joeng2,62,0.000516766
特區,dak6keoi1,2,1.66699E-05
旗,kei4,1,8.33493E-06
花,faa1,4,3.33397E-05
提,tai4,5,4.16747E-05
只係,zi2hai6,14,0.000116689
齊,cai4,17,0.000141694
從來,cung4loi4,7,5.83445E-05
作,zok3,6,5.00096E-05
構思,gau3si1,1,8.33493E-06
設計,cit3gai3,2,1.66699E-05
以,ji5,15,0.000125024
為,wai4,1,8.33493E-06
冚唪唥,ham6baang6laang6,5,4.16747E-05
全部,cyun4bou6,10,8.33493E-05
個個,go3go3,28,0.000233378
懵查查,mung4caa4caa4,1,8.33493E-06
斷估,dyun3gu2,1,8.33493E-06
嗰陣時,go2zan6si4,21,0.000175034
年,nin4,178,0.001483618
頭先,tau4sin1,42,0.000350067
款,fun2,7,5.83445E-05
突然間,dat6jin4gaan1,13,0.000108354
一早,jat1zou2,3,2.50048E-05
預訂,jyu6deng6,1,8.33493E-06
其他,kei4taa1,54,0.000450086
臨時,lam4si4,3,2.50048E-05
市,si5,5,4.16747E-05
嘍,lo3,31,0.000258383
即刻,zik1haak1,44,0.000366737
割禾青,got3wo4ceng1,1,8.33493E-06
割,got3,2,1.66699E-05
橛,gyut6,1,8.33493E-06
收工,sau1gung1,4,3.33397E-05
之前,zi1cin4,31,0.000258383
嘈,cou4,1,8.33493E-06
夠,gau3,67,0.00055844
情況,cing4fong3,30,0.000250048
太過,taai3gwo3,7,5.83445E-05
受,sau6,4,3.33397E-05
長龍,coeng4lung4,1,8.33493E-06
賺,zaan6,39,0.000325062
預早,jyu6zou2,1,8.33493E-06
貨,fo3,12,0.000100019
可以,ho2ji5,31,0.000258383
年初,nin4co1,1,8.33493E-06
升,sing1,24,0.000200038
着數,zoek6sou3,2,1.66699E-05
著數,zoek6sou3,1,8.33493E-06
希望,hei1mong6,15,0.000125024
或者,waak6ze2,173,0.001441943
收藏品,sau1cong4ban2,1,8.33493E-06
完全,jyun4cyun4,27,0.000225043
連,lin4,10,8.33493E-05
有陣時,jau5zan6si4,18,0.000150029
印,jan3,3,2.50048E-05
普通,pou2tung1,16,0.000133359
到,dou3,96,0.000800153
嗰個時候,go2go3si4hau6,1,8.33493E-06
特別,dak6bit6,6,5.00096E-05
除咗,ceoi4zo2,17,0.000141694
可能,ho2nang4,19,0.000158364
哎吔,ai1jaa3,40,0.000333397
公仔,gung1zai2,2,1.66699E-05
設計,cit3gai3,1,8.33493E-06
大致,daai6zi3,1,8.33493E-06
咁上下,gam3soeng6haa2,6,5.00096E-05
識,sik1,166,0.001383599
某,mau5,11,9.16842E-05
種,zung2,67,0.00055844
面額,min6ngaak2,2,1.66699E-05
儲,cou5,35,0.000291723
炒賣,caau2maai6,1,8.33493E-06
個八,go3baat3,13,0.000108354
個三,go3saam1,1,8.33493E-06
記得,gei3dak1,29,0.000241713
曾經,cang4ging1,4,3.33397E-05
時期,si4kei4,1,8.33493E-06
封,fung1,6,5.00096E-05
信,seon3,15,0.000125024
去,heoi3,49,0.000408412
海外,hoi2ngoi6,2,1.66699E-05
亞洲,aa3zau1,4,3.33397E-05
毫子,hou4zi2,9,7.50144E-05
夠,gau3,5,4.16747E-05
快快脆脆,faai3faai3ceoi3ceoi3,1,8.33493E-06
猛咁,maang5gam3,5,4.16747E-05
將,zoeng1,9,7.50144E-05
ei3,ei3,20,0.000166699
短,dyun2,27,0.000225043
至到,zi3dou3,5,4.16747E-05
升值,sing1zik6,1,8.33493E-06
零,leng4,27,0.000225043
間,gaan1,2,1.66699E-05
事,si6,61,0.000508431
癲,din1,3,2.50048E-05
二百幾,ji6baak3gei2,4,3.33397E-05
搞錯,gaau2co3,14,0.000116689
扱,kap1,2,1.66699E-05
印,jan3,1,8.33493E-06
萬,maan6,9,7.50144E-05
係唔係,hai6m4hai6,17,0.000141694
非常,fei1soeng4,5,4.16747E-05
非常之,fei1soeng4zi1,6,5.00096E-05
心痛,sam1tung3,1,8.33493E-06
樣,joeng6,35,0.000291723
哩排,ni1pai2,1,8.33493E-06
靜,zing6,5,4.16747E-05
收集,sau1zaap6,2,1.66699E-05
起來,hei2lei4,2,1.66699E-05
趁,can3,1,8.33493E-06
跌,dit3,19,0.000158364
喺度,hai2dou6,34,0.000283388
純粹,seon4seoi5,8,6.66794E-05
𠻺,aa6,5,4.16747E-05
個半,go3bun3,5,4.16747E-05
早嗰輪,zou2go2leon4,1,8.33493E-06
收購,sau1kau3,4,3.33397E-05
千一,cin1jat1,2,1.66699E-05
無聊,mou4liu4,25,0.000208373
開,hoi1,42,0.000350067
無端端,mou4dyun1dyun1,6,5.00096E-05
是但,si6daan6,8,6.66794E-05
唔為意,m4wai4ji3,1,8.33493E-06
收埋,sau1maai4,9,7.50144E-05
本,bun2,76,0.000633455
集郵簿,zaap6jau4bau2,1,8.33493E-06
女皇頭,neoi5wong4tau4,1,8.33493E-06
知道,zi1dou3,55,0.000458421
值錢,zik6cin2,4,3.33397E-05
哦,o5,293,0.002442135
為,wai4,1,8.33493E-06
一百五十,jat1baak3ng5sap6,1,8.33493E-06
原價,jyun4gaa3,1,8.33493E-06
千二,cin1ji6,3,2.50048E-05
之間,zi1gaan1,11,9.16842E-05
鍾,zung1,1,8.33493E-06
高,gou1,63,0.000525101
些少,se1siu2,7,5.83445E-05
身上,san1soeng6,2,1.66699E-05
英,jing1,1,8.33493E-06
以前,ji5cin4,13,0.000108354
拼,ping3,1,8.33493E-06
躉,dan2,2,1.66699E-05
使,sai2,29,0.000241713
大量,daai6loeng6,1,8.33493E-06
咩,me1,32,0.000266718
龍船,lung4syun4,3,2.50048E-05
,gaa1,224,0.001867025
任,jam6,5,4.16747E-05
哎,aai5,20,0.000166699
返去,faan1heoi3,20,0.000166699
小學,siu2hok6,27,0.000225043
中學,zung1hok6,9,7.50144E-05
學,hok6,5,4.16747E-05
鐘,zung1,35,0.000291723
以內,ji5noi6,3,2.50048E-05
字,zi6,38,0.000316727
最多,zeoi3do1,8,6.66794E-05
排,paai4,9,7.50144E-05
鐘頭,zung1tau4,6,5.00096E-05
越來越,jyut6lai4jyut6,14,0.000116689
搞,gaau2,95,0.000791818
心機,sam1gei1,4,3.33397E-05
自從,zi6cung4,6,5.00096E-05
嗰次,go2ci3,8,6.66794E-05
以後,ji5hau6,7,5.83445E-05
好,hou2,29,0.000241713
慘,caam2,45,0.000375072
企,kei5,16,0.000133359
寧願,ning4jyun2,5,4.16747E-05
就噉,zau6gam2,9,7.50144E-05
易,ji6,13,0.000108354
啫,ze1,9,7.50144E-05
難,naan4,63,0.000525101
衰,seoi1,36,0.000300058
時候,si4hau6,8,6.66794E-05
逐,zuk6,6,5.00096E-05
揭,kit3,3,2.50048E-05
保值,bou2zik6,1,8.33493E-06
作用,zok3jung6,2,1.66699E-05
整,zing2,56,0.000466756
花,faa1,3,2.50048E-05
摺,zip3,1,8.33493E-06
損毀,syun2wai2,1,8.33493E-06
