word,phono,occured,ratio
咁样,gam2yeung2,1647,0.001982558
多,do1,3024,0.003640106
野,ye5,2761,0.003323523
搞,gaau2,833,0.001002714
忙,mong4,290,0.000349084
噢,o1,168,0.000202228
呢排,le1paai4,443,0.000533256
咪,mai6,3910,0.004706619
听得到,teng1dak1dou3,113,0.000136022
老公,lou5gung1,307,0.000369548
落,lok6,415,0.000499552
班,baan1,372,0.000447791
翻,faan1,128,0.000154079
度,dou6,2302,0.002771007
煮,jyu2,249,0.000299731
紧,gan2,367,0.000441772
餸,sung3,115,0.00013843
英德,ying1dak1,16,1.92598E-05
三,saam1,1244,0.001497451
返去,faan2heui3,752,0.000905212
冇,mou5,11615,0.013981426
犀利,sai1lei6,167,0.000201024
有得,yau5dak1,56,6.74094E-05
饮,yam2,541,0.000651223
迟,chi4,251,0.000302138
杨建霞,yeung4gin3ha4,2,2.40748E-06
又,yau6,6821,0.008210702
约,yeuk3,334,0.000402049
到,dou3,3313,0.003987987
佢,keui5,17820,0.021450626
同,tung4,2989,0.003597975
十二月,sap6yi6yut6,61,7.34281E-05
十八号,sap6baat3hou6,8,9.62991E-06
问,man6,1173,0.001411986
系唔系,hai6m4hai6,553,0.000665668
广州,gong2jau1,315,0.000379178
应该,ying1goi1,1076,0.001295223
乡下,heung1ha6,89,0.000107133
了,liu5,792,0.000953361
因为,yan1wai6,803,0.000966602
预产期,yu6chaan2kei4,2,2.40748E-06
廿三,ya6saam1,11,1.32411E-05
号,hou2,110,0.000132411
所以,so2yi5,825,0.000993085
唔,m4,17050,0.020523747
果,go2,6822,0.008211906
餐,chaan1,198,0.00023834
等,dang2,861,0.001036419
返嚟,faan1lai4,929,0.001118273
返,faan1,1667,0.002006633
请,cheng2,439,0.000528441
上,seung6,1040,0.001251888
倾,king1,532,0.000640389
时,si4,719,0.000865488
等一阵,dang2yat1jan6,13,1.56486E-05
有时,yau5si4,440,0.000529645
可能,ho2lang4,1556,0.001873018
隐身,yan2san1,12,1.44449E-05
上班,seung5baan1,452,0.00054409
买,maai5,2886,0.00347399
楼,lau2,219,0.000263619
今年,gam1lin4,171,0.000205839
结婚,git3fan1,177,0.000213062
你地,lei5dei6,777,0.000935305
早,jou2,482,0.000580202
喺,hai2,4904,0.005903135
都,dou1,12973,0.015616104
净系,jing6hai6,133,0.000160097
房,fong2,174,0.000209451
打算,da2syun3,95,0.000114355
得唔得闲,dak1m4dak1haan4,88,0.000105929
谂,lam2,1168,0.001405967
住,jyu6,2185,0.002630169
下,ha6,1893,0.002278678
个,go3,13397,0.016126489
月,yut6,777,0.000935305
呢度,le1dou6,503,0.000605481
凑,chau3,128,0.000154079
细路仔,sai3lou6jai2,127,0.000152875
累,leui6,18,2.16673E-05
成日,sing4yat6,550,0.000662056
凑住,chau3jyu6,1,1.20374E-06
女,leui5,628,0.000755948
抱,pou5,31,3.73159E-05
起,hei2,186,0.000223895
辛苦,san1fu2,267,0.000321398
打,da1,1630,0.001962094
预防针,yu6fong4jam1,3,3.61122E-06
咩,me1,8740,0.010520677
而家,yi4ga1,5937,0.007146597
嚟,lai4,1623,0.001953668
以为,yi5wai4,349,0.000420105
嬷嬷,ma4ma4,2,2.40748E-06
出去,cheut1heui2,666,0.00080169
夜,ye6,165,0.000198617
训,fan3,290,0.000349084
晚晚,maan5maan5,24,2.88897E-05
成,sing4,683,0.000822154
十一,sap6yat1,167,0.000201024
点,din2,4088,0.004920884
眼训,aan5fan3,19,2.2871E-05
训觉,fan3gok3,189,0.000227507
阴功,yam1gung1,23,2.7686E-05
死,sei2,366,0.000440568
肯,hang2,149,0.000179357
自己,ji6gei2,1460,0.001757459
时候,si4hau6,396,0.000476681
畀,bei2,3244,0.003904929
开,hoi1,827,0.000995492
开灯,hoi1dang1,2,2.40748E-06
着灯,jeuk6dang1,1,1.20374E-06
关,gwaan1,107,0.0001288
呢,ni1,3688,0.004439389
早一排,jou2yat1paai4,2,2.40748E-06
会,wui5,1280,0.001540786
食野,sik6ye5,61,7.34281E-05
食得,sik6dak1,13,1.56486E-05
好食,hou2sik6,163,0.000196209
拣,gaan2,136,0.000163708
食,sik6,2601,0.003130925
一阵间,yat1jan6gaan1,233,0.000280471
惊,geng1,280,0.000337047
水果,seui2go2,35,4.21309E-05
头痛,tau4tung3,13,1.56486E-05
知,ji1,3333,0.004012061
青菜,cheng1choi3,18,2.16673E-05
佢地,keui5dei6,1007,0.001212165
大个,daai6go3,40,4.81496E-05
㗎,ga3,9542,0.011486076
我地,o5dei6,2096,0.002523037
好似,hou2chi3,2011,0.002420719
满,mun5,29,3.49084E-05
使,si5,1179,0.001419208
以前,yi5chin4,430,0.000517608
各,gok3,47,5.65757E-05
报到,bou3dou3,6,7.22243E-06
今,gam1,379,0.000456217
六百,luk6baak3,85,0.000102318
蚊,man1,2012,0.002421922
咋,ja1,1219,0.001467358
百,baak3,307,0.000369548
上次,seung6chi3,456,0.000548905
下一次,ha6yat1chi3,6,7.22243E-06
一百,yat1baak3,242,0.000291305
种,jung2,251,0.000302138
流感,lau4gam2,4,4.81496E-06
型,ying4,14,1.68523E-05
清,cheng1,204,0.000245563
听,teng1,1595,0.001919963
人地,yan4dei6,854,0.001027993
果啲,go2di1,5677,0.006833625
进口,jeun3hau2,14,1.68523E-05
针,jam1,20,2.40748E-05
贵,gwai3,570,0.000686131
嘅,ge3,9741,0.01172562
药水,yeuk6seui2,7,8.42617E-06
定系,ding6hai6,233,0.000280471
乜野,mat1ye5,972,0.001170034
果阵,go3jan6,138,0.000166116
顺便,seun6bin6,68,8.18542E-05
做,jo6,3884,0.004675322
耐,loi6,748,0.000900397
产检,chaan2gim2,5,6.01869E-06
差唔多,cha1m4do1,500,0.000601869
你好,lei5hou2,169,0.000203432
准备,jeun2bei6,226,0.000272045
饭,faan6,546,0.000657241
信号,seun3hou6,255,0.000306953
出,cheut1,685,0.000824561
哇,wa1,1181,0.001421616
旧历,gau6lik6,4,4.81496E-06
间,gaan1,758,0.000912434
姐,je2,102,0.000122781
睇下,tai2ha5,929,0.001118273
娜,la4,1,1.20374E-06
恩,yan1,45,5.41682E-05
得,dak1,4486,0.005399972
翻倒,faan1dou2,9,1.08336E-05
入面,yap6min6,40,4.81496E-05
啱啱,aam1aam1,381,0.000458624
喔,wo3,4735,0.005699703
寻晚,cham4maan5,375,0.000451402
哎呀,aai1a1,393,0.000473069
二号,yi6hou2,24,2.88897E-05
堂细佬,tong4sai3lou2,1,1.20374E-06
摆酒,baai2jau2,44,5.29645E-05
中午,jung1m5,219,0.000263619
摆,baai2,145,0.000174542
四,sei3,745,0.000896785
五十,m5sap6,165,0.000198617
围,wai4,79,9.50954E-05
晚,maan5,353,0.00042492
黑,haak1,63,7.58355E-05
左右,jo2yau6,94,0.000113151
热闹,yit6laau6,14,1.68523E-05
十八,sap6baat3,35,4.21309E-05
即系,jik1hai6,4365,0.00525432
见,gin3,735,0.000884748
响,heung2,137,0.000164912
线,sin3,135,0.000162505
果度,go2dou6,3214,0.003868817
边度,bin1dou6,1448,0.001743014
元,yun4,24,2.88897E-05
里,lei5,9,1.08336E-05
边个,bin1go3,826,0.000994288
位置,wai6ji3,69,8.3058E-05
朋友,pang4yau5,316,0.000380381
过来,go3loi4,166,0.000199821
今晚,gam1maan5,708,0.000852247
训到,fan3dou3,17,2.04636E-05
五,m5,890,0.001071328
起床,hei2chong4,20,2.40748E-05
跟住,gan1jyu6,1145,0.001378281
嗌,aai3,351,0.000422512
熟,suk6,120,0.000144449
如果,yu4go2,1576,0.001897092
嗮,saai3,596,0.000717428
灯,dang1,21,2.52785E-05
床,chong4,58,6.98169E-05
夸张,kwa1jeung1,38,4.57421E-05
林子英,lam4ji2ying1,1,1.20374E-06
点样,din2yeung2,116,0.000139634
反正,faan2jing3,441,0.000530849
麻烦,ma4faan4,164,0.000197413
钟意,jung1yi3,486,0.000585017
睇,tai2,3261,0.003925392
再,joi3,760,0.000914841
根本,gan1bun2,28,3.37047E-05
已经,yi5ging1,451,0.000542886
基本,gei1bun2,30,3.61122E-05
打到,da1dou3,19,2.2871E-05
暂时,jaam6si4,67,8.06505E-05
上下,seung6ha6,83,9.99103E-05
啧,jaak3,40,4.81496E-05
少,siu2,569,0.000684927
简单,gaan2daan1,55,6.62056E-05
可以,ho2yi5,1676,0.002017466
钱,chin2,1313,0.001580509
免费,min5fai3,72,8.66692E-05
唉,aai1,2051,0.002468868
感觉,gam2gok3,49,5.89832E-05
舒服,syu1fuk6,119,0.000143245
搞唔搞,gaau2m4gaau2,1,1.20374E-06
觉得,gok3dak1,862,0.001037623
聪,chung1,9,1.08336E-05
知唔知,ji1m4ji1,203,0.000244359
补习,bou2jaap6,50,6.01869E-05
呵,ho1,368,0.000442976
抽血,chau1hyut3,3,3.61122E-06
嗯,m6,4204,0.005060518
吓,ha6,1710,0.002058393
仲有,jung6yau5,547,0.000658445
饮茶,yam2cha4,215,0.000258804
通知,tung1ji1,109,0.000131208
阿姨妈,a3yi4ma1,3,3.61122E-06
订,deng6,93,0.000111948
欧庄,au1jong1,2,2.40748E-06
甜品,tim4ban2,3,3.61122E-06
接埋,jip3maai4,1,1.20374E-06
阿,a3,1710,0.002058393
即系话,jik1hai6wa6,269,0.000323806
记住,gei3jyu6,30,3.61122E-05
记得,gei3dak1,336,0.000404456
号码,hou6ma5,95,0.000114355
讲埋,gong2maai4,17,2.04636E-05
名,meng2,140,0.000168523
星期四,sing1kei4sei3,62,7.46318E-05
老豆,lou5dau6,274,0.000329824
电话,din6wa2,1230,0.001480599
问下,man6ha5,130,0.000156486
至得,ji3dak1,3,3.61122E-06
之后,ji1hau6,660,0.000794468
阿田品,a3tin4ban2,1,1.20374E-06
话,wa6,5460,0.006572414
二,yi6,340,0.000409271
大学,daai6hok6,59,7.10206E-05
真系,jan1hai6,1398,0.001682827
网络,mong5lok6,31,3.73159E-05
方便,fong1bin6,131,0.00015769
话声,wa6seng1,1,1.20374E-06
难,laan6,314,0.000377974
请假,cheng2ga3,41,4.93533E-05
知道,ji1dou3,428,0.0005152
大家,daai6ga1,167,0.000201024
伴,bun6,24,2.88897E-05
最后,jeui3hau6,34,4.09271E-05
最,jeui3,788,0.000948546
星期二,sing1kei4yi6,60,7.22243E-05
一定,yat1ding6,212,0.000255193
姨妈,yi4ma1,1,1.20374E-06
得闲,dak1haan4,1066,0.001283186
叫,giu3,1362,0.001639492
一齐,yat1chai4,570,0.000686131
几多,gei2do1,790,0.000950954
果阵时,go2jan6si4,296,0.000356307
样,yeung2,705,0.000848636
一切,yat1chai3,4,4.81496E-06
卓越,cheuk3yut6,13,1.56486E-05
讲一讲,gong2yat1gong2,5,6.01869E-06
知道下,ji1dou3ha5,4,4.81496E-06
买菜,maai5choi3,31,3.73159E-05
学,hok6,321,0.0003864
科,fo1,62,7.46318E-05
学到,hok6dou3,24,2.88897E-05
几时,gei2si4,618,0.000743911
温习下,wan1jaap6ha5,2,2.40748E-06
英语,ying1yu5,54,6.50019E-05
自觉,ji6gok3,12,1.44449E-05
督促下,duk1chuk1ha5,1,1.20374E-06
出边,cheut1bin3,182,0.00021908
晏,aan3,102,0.000122781
衫,saam1,263,0.000316583
衣服,yi1fuk6,30,3.61122E-05
便便,bin6bin6,4,4.81496E-06
地,dei6,224,0.000269637
近,gan6,238,0.00028649
想,seung2,1590,0.001913945
试工,si3gung1,3,3.61122E-06
夜晚,ye6maan5,152,0.000182968
台庆,toi4hing3,1,1.20374E-06
系咪,hai6mai6,977,0.001176053
正式,jing3sik1,30,3.61122E-05
廿三号,ya6saam1hou2,22,2.64823E-05
嗌埋,aai3maai4,31,3.73159E-05
张姨,jeung1yi1,3,3.61122E-06
真,jan1,136,0.000163708
一般,yat1bun1,304,0.000365937
仔,jai2,798,0.000960584
孙,syun1,42,5.0557E-05
大,daai6,766,0.000922064
一,yat1,5544,0.006673528
体校,tai2haau6,2,2.40748E-06
运动员,wan6dung6yun4,1,1.20374E-06
星期一,sing1kei4yat1,133,0.000160097
次,chi3,915,0.001101421
两公婆,leung5gung1po2,29,3.49084E-05
拉,laai1,176,0.000211858
黄埔,wong4bou3,12,1.44449E-05
苗头,miu4tau4,2,2.40748E-06
股,gu2,32,3.85196E-05
啫,je1,2932,0.003529362
日日,yat6yat6,252,0.000303342
忙到死,mong4dou3sei2,1,1.20374E-06
几,gei2,2806,0.003377691
平方,ping4fong1,25,3.00935E-05
次次,chi3chi3,47,5.65757E-05
一时,yat1si4,40,4.81496E-05
另外,ling6oi6,145,0.000174542
屋,uk1,195,0.000234729
哎,aai1,771,0.000928083
老人家,lou5yan4ga1,27,3.25009E-05
费时,fai3si4,5,6.01869E-06
新抱,san1pou5,19,2.2871E-05
拉住,laai1jyu6,5,6.01869E-06
但系,dan6hai6,956,0.001150774
上嚟,seung5lei4,58,6.98169E-05
远,yun5,360,0.000433346
住唔惯,jyu6m4gwaan3,1,1.20374E-06
五羊新城,m5yeung4san1sing4,4,4.81496E-06
地方,dei6fong1,348,0.000418901
电梯楼,din6tai1lau2,2,2.40748E-06
鬼,gwai2,440,0.000529645
第二,dai6yi6,198,0.00023834
电梯,din6tai1,32,3.85196E-05
万江,maan6gong1,1,1.20374E-06
收,sau1,183,0.000220284
短信,dyun2seun3,20,2.40748E-05
余,yu4,4,4.81496E-06
网上,mong5seung6,80,9.62991E-05
见到,gin3dou2,348,0.000418901
比较,bei2gaau3,424,0.000510385
便,bin3,373,0.000448995
也系,ya5hai6,1,1.20374E-06
卖,maai6,410,0.000493533
下昼,ha6jau3,184,0.000221488
黄小姐,wong4siu2je2,1,1.20374E-06
点钟,din2jung1,483,0.000581406
训攞觉,fan3gan2gaau3,9,1.08336E-05
上网,seung5mong5,186,0.000223895
考试,haau2si5,129,0.000155282
时间,si4gaan3,724,0.000871507
十,sap6,983,0.001183275
分钟,fan1jung1,484,0.00058261
返屋企,faan1uk1kei5,84,0.000101114
去下,heui3ha5,83,9.99103E-05
烈士陵园,lit6si6ling4yun4,4,4.81496E-06
行,haang4,865,0.001041234
凑孙,chau3syun1,5,6.01869E-06
入,yap6,351,0.000422512
添,tim1,328,0.000394826
厅,teng1,51,6.13907E-05
其他,kei4ta1,294,0.000353899
何止,ho4ji2,6,7.22243E-06
谈彩,taam4choi2,1,1.20374E-06
一样,yat1yeung6,200,0.000240748
边,bin1,1071,0.001289204
谭彩,taam4choi2,1,1.20374E-06
走,jau2,638,0.000767985
之前,ji1chin4,467,0.000562146
喽,lau4,74,8.90767E-05
嫌,yim4,31,3.73159E-05
小玲,siu2ling4,9,1.08336E-05
揿,gam6,132,0.000158894
嘞,la3,919,0.001106236
听见,ting3gin3,42,5.0557E-05
听唔听见,teng1m4ting3gin3,7,8.42617E-06
听唔听,teng1m4teng1,25,3.00935E-05
老妈子,lou5ma1ji2,15,1.80561E-05
星巴克,sing1ba1hak1,3,3.61122E-06
咖啡,ga3fe1,11,1.32411E-05
刷,chaat3,1,1.20374E-06
匀,wan4,3,3.61122E-06
张,jeung1,355,0.000427327
信用卡,seun3yung6ka1,6,7.22243E-06
送,sung3,389,0.000468254
出嚟,cheut1lei4,611,0.000735484
倾计,king1gai2,139,0.00016732
挂,gwa3,104,0.000125189
头先,tau4sin1,186,0.000223895
旅行社,leui5hang4se5,16,1.92598E-05
睇到,tai2dou3,148,0.000178153
新,san1,291,0.000350288
马,ma5,49,5.89832E-05
天,tin1,132,0.000158894
欢乐,fun1lok6,2,2.40748E-06
游,yau4,56,6.74094E-05
窒,jat6,68,8.18542E-05
二百,yi6baak3,44,5.29645E-05
一十,yat1sap6,10,1.20374E-05
二千,yi6chin1,34,4.09271E-05
九,gau2,317,0.000381585
抵,dai2,124,0.000149264
往返,wong5faan2,2,2.40748E-06
声,seng1,369,0.00044418
点解,din2gaai2,575,0.00069215
出到,cheut1dou3,4,4.81496E-06
团,tyun4,60,7.22243E-05
十一月,sap6yat1yut6,74,8.90767E-05
九号,gau2hou2,16,1.92598E-05
报名,bou3meng2,26,3.12972E-05
差,cha1,380,0.000457421
听唔到,teng1m4dou3,283,0.000340658
震,jan3,8,9.62991E-06
把,ba2,79,9.50954E-05
正唔正常,jing3m4jing3seung4,1,1.20374E-06
前,chin4,201,0.000241952
地铁站,dei6tit3jaam6,10,1.20374E-05
出口,cheut1hau2,26,3.12972E-05
好唔好,hou2m4hou2,234,0.000281675
摞,lo2,489,0.000588628
医疗证,yi1liu4jing3,5,6.01869E-06
麻唔麻烦,ma4m4ma4faan4,1,1.20374E-06
紧要,gan2yiu3,56,6.74094E-05
攞嚟,lo2lai4,16,1.92598E-05
杯,bui1,58,6.98169E-05
柏民生,paak3man4sang1,1,1.20374E-06
试,si3,188,0.000226303
香,heung1,37,4.45383E-05
只,ji2,1344,0.001617825
不过,bat1go3,1093,0.001315687
知到,ji1dou3,1,1.20374E-06
小姐,siu2je2,10,1.20374E-05
介绍,gaai3siu6,199,0.000239544
识,sik1,769,0.000925675
十月,sap6yut6,46,5.5372E-05
三十一号,saam1a6yat1hou6,9,1.08336E-05
结束,git3chuk1,10,1.20374E-05
活动,wut6dung6,105,0.000126393
每,mui5,176,0.000211858
周,jau1,27,3.25009E-05
星,sing1,29,3.49084E-05
周一,jau1yat1,5,6.01869E-06
从,chung4,50,6.01869E-05
厄,aak1,3,3.61122E-06
倾下计,king1ha5gai2,74,8.90767E-05
直接,jik6jip3,108,0.000130004
杰宾,git6ban1,1,1.20374E-06
急,gap1,79,9.50954E-05
药,yeuk6,112,0.000134819
落下,lok6ha6,2,2.40748E-06
当,dong1,140,0.000168523
减肥,gaam2fei4,17,2.04636E-05
八,baat3,590,0.000710206
减下肥,gaam2ha5fei4,2,2.40748E-06
冇所谓,mou5so2wai6,100,0.000120374
懒,laan5,64,7.70393E-05
即系咪,jik1hai6mai6,12,1.44449E-05
试下,si3ha2,91,0.00010954
周亮,jau1leung6,1,1.20374E-06
行下,haang4ha5,139,0.00016732
逛下,kwaang3ha5,11,1.32411E-05
结,git3,67,8.06505E-05
揾到,wan2dou3,156,0.000187783
味,mei6,56,6.74094E-05
打包,da2baau1,15,1.80561E-05
一杯,yat1bui1,2,2.40748E-06
品种,ban2jung2,9,1.08336E-05
新马泰,san1ma5taai3,4,4.81496E-06
旅游,leui5yau4,174,0.000209451
一啲,yat1di1,50,6.01869E-05
好玩,hou2waan2,81,9.75028E-05
诶,e6,388,0.000467051
新加波,san1ga1bo1,5,6.01869E-06
吉隆坡,gat1lung4bo1,8,9.62991E-06
马来西亚,ma5loi4sai1nga3,16,1.92598E-05
呢次,le1chi3,5,6.01869E-06
报,bou3,160,0.000192598
呢啲,le1di1,827,0.000995492
地理盲,dei6lei5maang4,1,1.20374E-06
首都,sau2dou1,4,4.81496E-06
写,se2,190,0.00022871
至,ji3,204,0.000245563
然后,yin4hau6,144,0.000173338
云顶,wan4deng2,2,2.40748E-06
高原,gou1yun4,6,7.22243E-06
地点,dei6din2,6,7.22243E-06
马六甲,ma5luk6gaap3,2,2.40748E-06
返到,faan1dou3,89,0.000107133
散,saan3,27,3.25009E-05
揾,wan2,1099,0.001322909
车,che1,768,0.000924471
回程,wui4ching4,4,4.81496E-06
票,piu3,90,0.000108336
搭,daap6,164,0.000197413
怕,pa3,219,0.000263619
或者,waak6je2,446,0.000536868
所谓,so2wai6,83,9.99103E-05
内地,loi6dei6,4,4.81496E-06
麻鬼烦,ma4gwai2faan4,5,6.01869E-06
本嚟,bun2lai4,20,2.40748E-05
费用,fai3yung6,13,1.56486E-05
币,bai6,3,3.61122E-06
兑换,deui3wun6,1,1.20374E-06
人民币,yan4man4bai6,20,2.40748E-05
比,bei2,194,0.000233525
一半,yat1bun3,42,5.0557E-05
等于,dang2yu1,82,9.87066E-05
高,gou1,234,0.000281675
出声,cheut1seng1,62,7.46318E-05
按,on3,67,8.06505E-05
啱,aam1,592,0.000712613
门,mun4,88,0.000105929
等阵间,dang2jan6gaan1,15,1.80561E-05
出来,cheut1loi4,166,0.000199821
哈,ha1,211,0.000253989
等闲,dang2haan4,2,2.40748E-06
打电话,da2din6wa2,298,0.000358714
好啊,hou3a6,51,6.13907E-05
挂到,gwa3dou2,1,1.20374E-06
快趣,faai3cheui3,3,3.61122E-06
讲野,gong2ye5,246,0.00029612
正常,jing3seung4,97,0.000116763
梗系,gang2hai6,649,0.000781226
星期三,sing1kei4saam1,50,6.01869E-05
咦,yi2,68,8.18542E-05
用,yung6,861,0.001036419
听日,ting1yat6,828,0.000996696
得唔得,dak1m4dak1,174,0.000209451
爬,pa4,55,6.62056E-05
望,mong6,82,9.87066E-05
之,ji1,74,8.90767E-05
上楼,seung5lau4,3,3.61122E-06
两千,leung5chin1,166,0.000199821
吉,gat1,11,1.32411E-05
新加坡,san1ga3bo1,6,7.22243E-06
总,jung2,35,4.21309E-05
泰国,taai3gok3,21,2.52785E-05
总共,jung2gung6,20,2.40748E-05
阵,jan6,147,0.00017695
呃,aak1,190,0.00022871
赌场,dou2cheung4,4,4.81496E-06
来,loi4,346,0.000416494
坐,cho5,578,0.000695761
正好,jing3hou2,2,2.40748E-06
在,joi3,99,0.00011917
错,cho3,202,0.000243155
导游,dou6yau4,11,1.32411E-05
机场,gei1cheung4,13,1.56486E-05
即刻,jik1hak1,54,6.50019E-05
直通车,jik6tung1che1,3,3.61122E-06
多数人,do1sou3yan4,1,1.20374E-06
趁机,chan3gei1,4,4.81496E-06
经济,ging1jai3,29,3.49084E-05
允许,wan5heui2,11,1.32411E-05
见识,gin3sik1,5,6.01869E-06
袋多,doi6do1,1,1.20374E-06
千,chin1,242,0.000291305
换钱,wun6chin2,1,1.20374E-06
当地,dong1dei6,19,2.2871E-05
小食,siu2sik6,9,1.08336E-05
特色,dak6sik1,10,1.20374E-05
四十,sei3sap6,80,9.62991E-05
纸,ji2,71,8.54655E-05
生活,sang1wut6,62,7.46318E-05
水平,seui2ping4,17,2.04636E-05
攞,gan2,524,0.000630759
录,luk6,53,6.37982E-05
音,yam1,41,4.93533E-05
第,dai6,194,0.000233525
台,toi4,268,0.000322602
照,jiu3,101,0.000121578
第四,dai6sei3,5,6.01869E-06
咩野,me1ye5,656,0.000789653
片,pin3,39,4.69458E-05
珠江,jyu1gong1,21,2.52785E-05
频道,pan4dou6,11,1.32411E-05
二十九,yi6a6gau2,3,3.61122E-06
廿九,ya6gau2,17,2.04636E-05
五十九,m5a6gau2,12,1.44449E-05
家里,ga1leui5,1,1.20374E-06
婚外情,fan1oi4ching4,3,3.61122E-06
搞笑,gaau2siu3,74,8.90767E-05
阿强,a3keung5,17,2.04636E-05
落嚟,lok6lai4,178,0.000214266
陪,pui4,75,9.02804E-05
集,jaap6,53,6.37982E-05
乜,mat1,1046,0.001259111
条,tiu4,625,0.000752337
奸,gaan1,7,8.42617E-06
临尾,lam4mei5,8,9.62991E-06
凄凉,chai1leung4,5,6.01869E-06
老师,lou5si1,175,0.000210654
家访,ga1fong2,6,7.22243E-06
烦,faan4,163,0.000196209
爽,song2,47,5.65757E-05
啱先,aam1sin1,143,0.000172135
咪,mi1,1034,0.001244666
电视,din6si6,219,0.000263619
闷,mun6,65,7.8243E-05
当时候,dong1si4hau6,3,3.61122E-06
嚟到,lai4dou3,26,3.12972E-05
话知,wa6ji1,17,2.04636E-05
明年,ming4lin2,57,6.86131E-05
读书,duk6syu1,143,0.000172135
理得,lei5dak1,17,2.04636E-05
傻妹,so4mui6,4,4.81496E-06
全部,chyun4bou6,384,0.000462236
屌,diu2,331,0.000398438
哼,hang1,22,2.64823E-05
其实,kei4sat6,518,0.000623537
傻,so4,98,0.000117966
醒目,sing2muk6,12,1.44449E-05
有时候,yau5si4hau6,48,5.77795E-05
发现,faat3yin6,42,5.0557E-05
女人,leui5yan2,37,4.45383E-05
奸情,gaan1ching4,1,1.20374E-06
女仔,leui5jai2,62,7.46318E-05
去死,heui3sei2,10,1.20374E-05
肚痛,tou5tung3,9,1.08336E-05
果阵时候,go2jan6si4hau6,6,7.22243E-06
得势,dak1sai3,1,1.20374E-06
演员,yin2yun4,10,1.20374E-05
拍,paak3,112,0.000134819
申请,san1ching2,25,3.00935E-05
学校,hok6haau6,319,0.000383993
填,tin4,22,2.64823E-05
表,biu1,29,3.49084E-05
开始,hoi1chi2,233,0.000280471
唱歌,cheung3go1,34,4.09271E-05
放,fong3,485,0.000583813
大结局,daai6git3guk6,8,9.62991E-06
星期六,sing1kei4luk6,386,0.000464643
七,chat1,472,0.000568165
钟,jung1,544,0.000654834
回家的诱惑,wui4ga1dik1yau5waak6,1,1.20374E-06
同埋,tung4maai4,410,0.000493533
过瘾,go3yan5,32,3.85196E-05
叫做,giu3jou6,102,0.000122781
勾心斗角,gau1sam1dau3gok3,1,1.20374E-06
有啲,yau5di1,377,0.00045381
三奶,saam1laai5,1,1.20374E-06
四奶,sei3laai5,1,1.20374E-06
温柔的背后,wan1yau4dik1bui3hau6,5,6.01869E-06
好睇,hou2tai2,104,0.000125189
噜,lou1,7,8.42617E-06
干脆,gon1cheui3,12,1.44449E-05
网,mong5,72,8.66692E-05
够,kau3,572,0.000688539
睇唔到,tai2m4dou2,38,4.57421E-05
深圳卫视台,sam1jan3wai6si6toi4,1,1.20374E-06
新闻,san1man2,132,0.000158894
电视剧,din6si6kek6,35,4.21309E-05
追,jeui1,70,8.42617E-05
电影,din6ying2,198,0.00023834
女成凤,leui5sing4fung6,1,1.20374E-06
战斗,jin3dau3,3,3.61122E-06
爱情片,oi3ching4pin2,5,6.01869E-06
意思,yi3si1,188,0.000226303
武打,mou5da2,1,1.20374E-06
速战速决,chuk1jin3chuk1kyut3,1,1.20374E-06
噓,heui1,8,9.62991E-06
功夫少林,gung1fu1siu3lam4,2,2.40748E-06
之类,ji1leui6,46,5.5372E-05
番,faan1,491,0.000591036
